Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
1,7,Sunday,No,20.83349161,51.14700702,1096.703128,1,On,Off,21.86510035,70.30817193
1,8,Sunday,No,27.4656412,34.94099104,1491.287949,9,On,Off,4.645738606,82.28439185
1,9,Sunday,No,20.62350049,50.14503354,1036.462317,6,Off,On,0.372201265,59.84739269
1,10,Sunday,Yes,27.31481127,42.93605505,1876.510299,4,On,Off,1.181331141,82.50403686
1,11,Sunday,Yes,27.42511355,32.39478807,1155.2301,9,On,Off,8.166146957,82.78244589
1,12,Sunday,Yes,24.07915813,54.09504887,1850.322023,7,Off,Off,21.06081426,74.67411328
1,13,Sunday,No,29.91382999,53.34075279,1924.186121,0,On,Off,25.84805423,86.88913818
1,14,Sunday,Yes,24.52137299,42.27647349,1654.929977,7,On,Off,1.647172332,78.54242642
1,15,Sunday,Yes,21.89878543,48.63351463,1958.963536,4,On,On,20.21773266,77.22845716
1,16,Sunday,Yes,23.51626472,52.37155796,1517.168541,7,On,Off,8.270639173,73.73515146
1,17,Sunday,Yes,27.14811666,43.12086624,1296.581807,8,On,Off,16.99702392,91.84340825
1,18,Sunday,No,23.57435363,52.8516642,1491.880065,2,Off,Off,24.46090952,73.35070513
1,19,Sunday,Yes,20.51618554,40.91849971,1114.230124,8,Off,On,20.48909779,66.20209751
1,20,Sunday,Yes,23.15919004,33.08814922,1183.493606,6,Off,On,15.65479222,77.85177635
1,21,Sunday,No,29.98804612,51.19663001,1516.752703,2,On,Off,16.10496033,90.9814761
1,22,Sunday,Yes,22.87904857,30.35776229,1162.659354,7,On,On,13.39053893,81.91707933
1,23,Sunday,Yes,24.61795871,49.04122555,1666.043647,6,Off,On,21.60015474,70.22461754
1,0,Monday,No,27.35268111,36.25924919,1024.998986,6,Off,On,22.17502218,88.73376918
1,1,Monday,Yes,29.43678951,48.84844941,1234.085368,2,Off,Off,6.662874484,76.55502513
1,2,Monday,No,21.75402643,45.53864309,1514.827037,4,Off,Off,9.846127122,62.05505494
1,3,Monday,No,22.12421376,47.34391566,1919.119996,6,Off,Off,5.352018638,62.00189386
1,4,Monday,Yes,21.32477613,33.61505671,1857.268369,9,On,On,13.52386674,80.45212742
1,5,Monday,No,22.08681192,43.83891693,1325.600204,5,Off,Off,12.27482035,64.71822006
1,6,Monday,Yes,29.95687945,56.7888056,1864.732366,8,On,Off,4.938737937,91.87196451
1,7,Monday,No,22.46645832,45.22840942,1902.803824,6,Off,On,0.577030443,69.69226303
1,8,Monday,No,21.10053159,52.70577939,1896.816079,7,Off,Off,25.00768208,63.85097613
1,9,Monday,Yes,25.02320238,43.58649903,1434.526311,1,Off,Off,2.175137663,68.80528578
1,10,Monday,Yes,24.56121815,37.03931989,1689.455455,3,Off,Off,21.33171234,76.30130929
1,11,Monday,No,27.34490229,33.68329829,1187.613733,2,Off,On,17.66395348,84.03868416
1,12,Monday,No,26.20943541,40.77160428,1038.67672,1,Off,Off,14.77971445,77.67379217
1,13,Monday,Yes,26.21070227,42.08418296,1098.799328,7,Off,Off,1.554091826,78.91225016
1,14,Monday,Yes,21.50172634,43.35331519,1546.508246,9,Off,Off,20.7559032,64.04242488
1,15,Monday,No,25.38274546,51.90269995,1350.756585,0,Off,Off,27.74804387,78.1872813
1,16,Monday,No,21.20347244,49.61036981,1529.657115,7,Off,On,17.18733145,63.39384819
1,17,Monday,No,21.53025522,42.01688339,1660.535267,8,On,Off,7.675986827,76.1061781
1,18,Monday,Yes,24.50178557,48.58331043,1631.634714,9,Off,Off,24.69638787,60.14423798
1,19,Monday,No,24.29072347,36.98773403,1847.395629,6,On,Off,10.95515496,80.19264551
1,20,Monday,Yes,27.33662081,50.87667729,1143.105177,7,On,On,27.62248446,86.22364507
1,21,Monday,No,20.7357155,48.50663624,1836.542651,4,Off,On,9.295439072,53.26327834
1,22,Monday,Yes,22.7878583,43.95104865,1134.002616,6,Off,Off,20.36258261,64.96318367
1,23,Monday,No,21.65293775,56.13704538,1140.60155,8,Off,On,19.51286205,66.43892065
1,0,Tuesday,No,25.08088138,59.67153433,1897.702224,8,Off,Off,14.39179975,75.91390632
1,1,Tuesday,Yes,25.79251153,33.89221588,1849.829581,7,On,Off,25.87596948,84.19146741
1,2,Tuesday,Yes,26.38607928,43.29577762,1851.597741,5,On,Off,17.47196483,75.25176382
1,3,Tuesday,Yes,22.14025704,49.42487794,1037.206885,7,Off,On,3.32990754,75.01447098
1,4,Tuesday,No,24.17577648,41.80015037,1198.625224,6,Off,Off,18.4706241,69.36574478
1,5,Tuesday,Yes,24.66814181,43.14091042,1310.874912,0,Off,On,22.93605348,78.04604233
1,6,Tuesday,Yes,20.83069216,52.19017626,1772.085708,7,Off,Off,21.71119541,67.48478775
1,7,Tuesday,No,25.70272908,53.31665482,1050.317602,8,On,Off,26.81710778,78.2542879
1,8,Tuesday,No,22.28517563,40.6599134,1688.890826,4,On,On,19.45596067,74.84338094
1,9,Tuesday,No,20.3572972,52.95666984,1150.285169,8,On,Off,21.06831112,64.64191193
1,10,Tuesday,No,29.64529278,42.51360621,1417.593259,7,On,On,7.756313433,89.0884343
1,11,Tuesday,No,20.74659947,39.36306812,1907.167579,0,On,On,11.89554762,73.15432865
1,12,Tuesday,No,27.30480241,48.59586683,1348.377744,7,Off,On,2.050682302,72.11709861
1,13,Tuesday,Yes,25.02629924,48.0954382,1711.60936,7,On,On,0.062826557,76.72156433
1,14,Tuesday,Yes,20.92610835,46.18534284,1619.552251,7,Off,On,16.78869309,65.97246107
1,15,Tuesday,Yes,25.23949354,43.07836641,1601.813215,3,Off,Off,0.194942588,61.53670969
1,16,Tuesday,Yes,24.34217961,47.40595644,1102.6057,8,Off,Off,1.316330486,77.38447784
1,17,Tuesday,Yes,25.48016407,55.32138506,1408.278965,7,On,Off,23.13402273,76.07661992
1,18,Tuesday,Yes,29.35006968,30.88538003,1045.036524,1,Off,Off,27.41681735,74.86787369
1,19,Tuesday,Yes,29.95050303,42.42525805,1679.773172,4,Off,On,13.95318144,86.28935401
1,20,Tuesday,No,26.62318074,37.72919218,1361.244781,6,Off,Off,27.20434275,83.87525695
1,21,Tuesday,Yes,23.54130272,34.53490594,1712.281769,8,Off,Off,29.2736974,83.45804939
1,22,Tuesday,No,24.39157014,53.03415959,1982.783855,8,On,On,20.48767016,81.9968284
1,23,Tuesday,Yes,27.75515877,39.84810667,1355.38522,8,On,Off,6.843562851,86.64692164
1,0,Wednesday,Yes,26.28690619,40.70675768,1384.325256,3,On,On,9.713536759,75.98238075
1,1,Wednesday,No,20.97990921,58.11562861,1179.486192,9,Off,Off,8.577365909,70.71436236
1,2,Wednesday,No,26.5158606,58.65666761,1389.698224,8,Off,Off,25.93440019,81.74552951
1,3,Wednesday,Yes,29.68616008,33.99960255,1419.462061,5,On,On,11.94414427,85.1825525
1,4,Wednesday,Yes,22.36951967,54.38705919,1167.0982,9,On,Off,25.04634671,75.29040593
1,5,Wednesday,No,23.92723747,53.67575902,1193.201025,9,On,On,6.51722412,85.18197379
1,6,Wednesday,No,20.82665215,39.19961425,1573.511481,9,On,On,27.63778504,72.76703721
1,7,Wednesday,No,28.235508,54.70047192,1419.641313,5,Off,On,21.38887254,81.81977545
1,8,Wednesday,Yes,22.89496304,54.11511641,1364.471091,6,On,On,10.78918324,78.64588466
1,9,Wednesday,No,21.63998082,59.41123031,1258.096515,0,Off,On,29.85772333,66.95161484
1,10,Wednesday,No,21.6313505,50.47608151,1888.701582,4,Off,Off,5.672987416,71.17906441
1,11,Wednesday,No,22.77963693,58.58018635,1226.318727,1,Off,Off,25.2100739,63.8619102
1,12,Wednesday,Yes,20.07062523,54.00859281,1457.864327,5,On,On,4.681821391,61.13094285
1,13,Wednesday,Yes,27.48755598,38.51450683,1130.03783,2,Off,On,8.811531071,79.72428614
1,14,Wednesday,Yes,28.53814894,49.96585219,1512.138063,4,Off,On,9.808761454,81.89398686
1,15,Wednesday,No,29.25702432,38.18426699,1293.97398,1,Off,On,21.16298504,85.36040307
1,16,Wednesday,Yes,23.02144912,47.87589415,1610.793389,8,On,Off,28.05386821,77.7764691
1,17,Wednesday,No,24.74130361,38.02144716,1896.940877,2,On,On,23.23288102,87.7480046
1,18,Wednesday,Yes,27.40315468,33.03160263,1237.345992,5,Off,Off,14.19955686,72.39601158
1,19,Wednesday,No,26.50637223,56.16762905,1300.443083,3,Off,Off,12.83219866,69.56901196
1,20,Wednesday,Yes,22.67617722,47.26094947,1038.254822,6,Off,Off,20.96630383,73.25221626
1,21,Wednesday,Yes,23.89271281,49.39507884,1887.437039,9,Off,Off,3.070709122,75.81440197
1,22,Wednesday,No,29.05240879,39.08467957,1221.846716,8,Off,Off,7.374000375,86.53486773
1,23,Wednesday,Yes,27.30842167,58.56743563,1239.62028,8,Off,On,22.21096517,81.19093783
1,0,Thursday,No,20.76246135,30.50361681,1736.014903,4,On,Off,8.830312239,76.9364531
1,1,Thursday,No,22.0627827,57.56876666,1204.3719,1,Off,Off,5.36431937,64.59533738
1,2,Thursday,No,28.88318386,39.63866759,1600.051333,9,Off,On,5.871164302,81.10901891
1,3,Thursday,Yes,24.12705095,47.96403459,1188.104077,3,On,On,27.94493488,70.25774285
1,4,Thursday,No,22.04510998,33.3242579,1735.080411,0,On,On,14.78081155,65.9814219
1,5,Thursday,Yes,23.46931367,31.18500406,1842.969833,4,On,On,4.066659492,76.19515389
1,6,Thursday,Yes,24.12198922,36.22531925,1636.739575,1,Off,Off,11.77756818,72.16382018
1,7,Thursday,No,27.55284508,34.5381823,1073.066166,3,Off,Off,17.60057071,74.11809532
1,8,Thursday,No,21.33084051,36.9476702,1518.000607,2,On,Off,9.506523032,73.9281436
1,9,Thursday,No,28.54821119,34.65484006,1096.857434,3,On,Off,22.82542188,80.51166203
1,10,Thursday,No,23.79808176,59.35728859,1138.376816,2,Off,On,24.21652918,68.56408772
1,11,Thursday,No,24.76878004,46.2216925,1075.241607,4,Off,On,17.88195821,71.42759361
1,12,Thursday,No,21.30153697,52.10150863,1924.999794,0,On,Off,24.40168326,64.07696764
1,13,Thursday,No,22.72197376,35.89964366,1229.55799,1,Off,On,7.759617922,57.48444204
1,14,Thursday,No,29.45837972,56.40345029,1724.596154,9,Off,Off,1.399989932,82.5977672
1,15,Thursday,Yes,24.74355527,43.27952524,1252.710602,2,Off,Off,26.16330551,77.5180513
1,16,Thursday,No,21.52426617,33.25524914,1381.696148,7,Off,Off,11.54903846,71.01713961
1,17,Thursday,Yes,25.52147035,48.27578382,1300.704098,0,Off,Off,10.14602291,64.69791036
1,18,Thursday,No,26.20669205,46.43151995,1659.148096,9,On,Off,10.59393047,76.30888109
1,19,Thursday,Yes,28.4902659,44.50404119,1844.777201,0,Off,On,29.35010468,80.00384749
1,20,Thursday,Yes,24.28568824,39.68855487,1194.877993,3,Off,Off,23.38926668,72.10407562
1,21,Thursday,Yes,29.58086952,45.41719161,1400.058462,6,On,Off,28.04939871,93.78946764
1,22,Thursday,No,21.956904,45.78312249,1520.142497,7,On,On,28.46248094,78.13896312
1,23,Thursday,No,25.16589294,39.60412762,1520.136082,3,On,On,2.933334154,87.32448956
1,0,Friday,Yes,24.01594209,47.94053553,1568.28334,3,Off,Off,14.9938366,74.17904404
1,1,Friday,No,22.78816375,34.07807564,1710.949247,0,Off,On,17.94625114,69.91514118
1,2,Friday,Yes,26.04089496,47.53823198,1494.26722,8,On,On,11.35995328,91.5943548
1,3,Friday,Yes,20.79672417,34.41135637,1294.459691,5,Off,Off,26.34952408,76.13895451
1,4,Friday,No,24.95147908,35.68303467,1607.748928,9,On,On,19.99657288,70.97691338
1,5,Friday,No,24.74071986,46.13389978,1528.481676,4,On,On,26.28441196,79.43394002
1,6,Friday,No,27.35805437,36.16290662,1054.171443,3,Off,On,27.7558029,77.65217035
1,7,Friday,Yes,22.93456303,34.016836,1081.982354,3,On,On,9.559637974,74.11609389
1,8,Friday,No,22.17088873,41.10062847,1336.849287,4,Off,On,18.72630485,67.63764065
1,9,Friday,Yes,22.05580615,47.31027362,1314.007738,6,On,On,29.55972039,72.59022722
1,10,Friday,No,29.82050358,37.0324497,1657.764637,6,Off,On,28.83562056,85.12072843
1,11,Friday,No,24.52923701,39.48944934,1587.929768,0,On,Off,15.92369086,76.92758508
1,12,Friday,Yes,29.58684969,53.87531481,1604.514215,1,On,Off,25.67681807,82.96293306
1,13,Friday,Yes,28.9610656,43.88354638,1686.83978,0,On,On,6.322472386,77.22008603
1,14,Friday,No,24.40907037,43.31585057,1311.416477,3,Off,Off,20.39146637,71.13106168
1,15,Friday,No,24.09961989,45.08272118,1748.236267,2,Off,On,27.23745792,69.27222198
1,16,Friday,No,26.60964172,59.72756653,1796.419286,7,Off,On,13.96505272,82.23684828
1,17,Friday,Yes,29.33981338,46.06150306,1774.894356,5,On,Off,15.41056318,83.33161599
1,18,Friday,Yes,28.04536975,39.32440919,1120.326504,3,On,Off,21.23633846,95.07096217
1,19,Friday,No,24.74475303,30.16745158,1866.088986,0,On,On,8.620037739,79.8002501
1,20,Friday,No,24.93943614,40.48957381,1536.626803,4,On,Off,11.48617514,78.73050082
1,21,Friday,Yes,22.55395012,41.0481825,1317.16133,1,On,On,15.18954074,85.42767735
1,22,Friday,No,26.07494158,35.51732088,1531.885316,6,Off,On,6.319200599,84.03168983
1,23,Friday,No,20.63269073,50.95243488,1004.40655,5,On,On,26.35900959,72.89058362
1,0,Saturday,No,25.71473454,42.29866537,1999.204208,1,On,On,29.56586339,75.61498189
1,1,Saturday,No,20.91479245,31.71009383,1486.780868,5,Off,On,4.306860348,71.78964722
1,2,Saturday,No,25.20534149,48.64990088,1533.208172,3,Off,Off,4.054742653,63.00815766
1,3,Saturday,No,25.97652406,38.48415292,1595.427693,4,On,On,16.20520434,94.55062457
1,4,Saturday,Yes,27.72641369,53.33917902,1751.722623,2,On,Off,21.64735838,83.57683054
1,5,Saturday,Yes,25.25112028,33.63497477,1822.877933,4,On,On,4.462679925,84.69317341
1,6,Saturday,No,26.39275138,52.9465257,1387.117574,2,Off,Off,4.67036882,78.58613842
1,7,Saturday,No,25.40366892,38.21610477,1739.931874,2,On,Off,29.11892004,75.64668455
1,8,Saturday,Yes,22.65582435,54.16381829,1086.475957,7,Off,On,8.7797632,73.20686742
1,9,Saturday,No,23.10978492,53.83190188,1483.8715,1,On,Off,28.16249105,74.33393532
1,10,Saturday,Yes,24.43071128,37.29842102,1423.298593,9,On,On,19.14516301,81.30053663
1,11,Saturday,No,23.76846846,49.08568113,1312.446457,7,On,Off,16.7533702,78.22920749
1,12,Saturday,No,25.6731838,55.43730018,1353.519698,0,Off,Off,14.25524744,75.41031586
1,13,Saturday,No,24.1287517,56.93177701,1666.713713,3,On,On,24.83746927,71.18623046
1,14,Saturday,Yes,29.53401925,35.29794527,1949.338478,2,Off,On,9.666940423,92.86092549
1,15,Saturday,No,25.96679016,38.73382129,1616.558512,7,On,On,27.38824467,82.10276684
1,16,Saturday,Yes,24.74086027,45.39176156,1685.674659,4,On,On,16.57386107,78.28652838
1,17,Saturday,No,29.95499539,55.09653944,1107.20298,5,Off,Off,26.99403989,86.08746919
1,18,Saturday,Yes,22.25393777,39.75479364,1899.087526,7,On,Off,26.92693129,74.57680498
1,19,Saturday,Yes,24.54321848,31.32913858,1556.659145,9,On,On,9.653999291,90.53846529
1,20,Saturday,Yes,24.34197661,43.53846921,1332.287419,3,On,Off,24.95227605,76.76832119
1,21,Saturday,No,27.60557613,58.52258032,1573.324026,8,Off,On,10.05239432,86.41515216
1,22,Saturday,No,25.71536181,57.64434178,1623.782677,5,On,On,26.93957739,76.19438265
1,23,Saturday,No,26.88056182,51.62348564,1118.167486,4,Off,On,16.40120437,76.93391964
1,0,Sunday,Yes,24.11976441,41.22561416,1291.10838,0,Off,On,1.887773804,71.05504381
1,1,Sunday,Yes,22.17423028,37.66492665,1566.181145,9,Off,On,15.48863414,77.39615133
1,2,Sunday,No,21.46866746,34.52321016,1666.939064,8,Off,On,28.99059534,70.65426607
1,3,Sunday,No,22.54704875,46.11825117,1722.155626,3,On,Off,17.52664179,67.8075495
1,4,Sunday,Yes,23.95915996,31.20897742,1730.53109,2,On,On,2.142625934,72.07174962
1,5,Sunday,Yes,20.68444001,38.48799934,1284.531145,0,On,Off,13.51040468,59.60890189
1,6,Sunday,Yes,28.00033639,57.80399003,1291.775954,7,On,On,5.304088924,90.01159284
1,7,Sunday,No,20.68728253,34.00230405,1801.960183,6,On,Off,2.463103827,73.37704701
1,8,Sunday,Yes,20.37295544,49.62542405,1426.7291,4,Off,Off,6.677800602,70.97874709
1,9,Sunday,No,21.99294281,46.86319509,1559.188457,3,On,On,14.64647274,74.37957432
1,10,Sunday,No,22.22280235,50.01013663,1314.51276,7,Off,On,0.657586982,67.64237008
1,11,Sunday,Yes,22.64655952,31.24166277,1365.62198,0,Off,On,22.63632475,71.5353959
1,12,Sunday,Yes,20.14509495,54.1466994,1021.604252,6,Off,Off,20.02054349,65.28898283
1,13,Sunday,No,23.85243516,34.38852565,1829.157054,1,Off,On,1.066889835,72.43112713
1,14,Sunday,No,26.82715303,52.87742398,1262.629873,3,Off,Off,24.09204889,75.68903568
1,15,Sunday,No,20.98349283,54.43680566,1360.452426,0,On,Off,20.94453724,71.77872061
1,16,Sunday,No,26.94394101,31.95760009,1846.266567,0,On,On,0.068456743,80.04392594
1,17,Sunday,Yes,20.91870129,35.61912355,1541.747142,8,Off,On,1.546592369,75.3694377
1,18,Sunday,Yes,28.79848358,37.71604787,1091.835261,7,On,On,0.298333403,86.5505985
1,19,Sunday,No,24.4803593,56.39299101,1184.701107,7,Off,On,5.728590972,71.9381497
1,20,Sunday,Yes,25.64310242,51.8397139,1196.761673,5,On,Off,14.01738503,87.13708266
1,21,Sunday,Yes,24.21717975,53.53776086,1319.809653,6,On,Off,26.67668967,73.58696137
1,22,Sunday,No,28.03065679,30.40053419,1185.714418,2,On,On,13.43734792,90.72509868
1,23,Sunday,No,23.3656332,52.01581684,1582.221432,5,On,On,18.34974043,72.99628149
1,0,Monday,No,23.26041505,50.94770949,1326.224568,5,Off,Off,28.83875615,85.68075278
1,1,Monday,No,21.14941244,51.28670038,1979.932749,8,Off,On,16.44413805,69.30518445
1,2,Monday,Yes,28.17756623,41.06552863,1406.193618,0,On,Off,6.408111896,73.9998394
1,3,Monday,No,21.00449301,32.80371969,1188.506575,4,On,Off,0.341781055,70.28576214
1,4,Monday,No,20.95706615,54.45741561,1801.360611,6,On,Off,20.88179066,75.17636555
1,5,Monday,Yes,26.97011494,46.54399814,1740.211558,6,On,On,2.140057382,86.71559756
1,6,Monday,Yes,29.38485263,49.77790579,1950.040352,8,Off,Off,24.15966124,90.45215551
1,7,Monday,No,20.98606705,59.66964947,1764.517442,2,On,Off,8.49549882,64.36966291
1,8,Monday,Yes,22.93476989,50.51657628,1284.598325,7,Off,Off,24.08005224,68.35678499
1,9,Monday,Yes,21.3018444,43.8944118,1157.240058,2,On,Off,21.22624624,70.38082621
1,10,Monday,Yes,23.97674187,53.50082641,1280.723494,4,Off,On,7.347493561,77.70804435
1,11,Monday,No,25.68058909,52.69300848,1665.067603,3,Off,Off,12.68259726,68.52149457
1,12,Monday,No,28.29829485,45.3449309,1908.788264,0,Off,Off,11.43388046,77.87769146
1,13,Monday,Yes,24.28433918,50.42035656,1016.575489,2,On,On,1.743926333,77.73573441
1,14,Monday,Yes,27.76634288,58.50555771,1341.811585,1,Off,On,21.06110625,83.24548579
1,15,Monday,Yes,23.97321246,46.83211679,1698.041315,8,On,On,0.006642105,80.30181828
1,16,Monday,Yes,24.69385893,39.95088081,1873.01465,3,Off,Off,10.97602138,76.1119173
1,17,Monday,No,24.52415184,59.47546095,1601.794428,2,Off,Off,20.45623832,64.04576015
1,18,Monday,Yes,22.34272772,35.84058972,1317.541539,7,On,Off,29.36612555,77.01609484
1,19,Monday,No,23.18850677,58.87111761,1880.033111,5,On,Off,9.79157509,78.73329793
1,20,Monday,Yes,29.72049067,32.42367573,1836.425058,5,Off,On,5.494192274,87.44225579
1,21,Monday,No,20.86510055,52.23935393,1765.921208,4,On,On,0.087502985,72.43118969
1,22,Monday,No,26.32086544,30.71754452,1288.259183,5,Off,Off,7.871969156,76.71624498
1,23,Monday,No,21.4254451,51.56712436,1693.354908,3,On,Off,14.94325021,67.8069676
1,0,Tuesday,No,25.10085139,36.13765007,1816.960958,3,On,Off,15.27219546,74.66520659
1,1,Tuesday,No,21.92645426,44.60597384,1135.054165,5,On,On,4.858260889,77.02412226
1,2,Tuesday,No,20.25156964,54.34084196,1474.997244,0,Off,Off,9.8706056,57.90048341
1,3,Tuesday,No,25.12261404,31.32321576,1101.862541,9,Off,Off,14.98752132,73.95195603
1,4,Tuesday,No,24.44409974,44.29228906,1706.911068,2,Off,Off,7.42218111,77.15892669
1,5,Tuesday,No,26.71812178,48.10132015,1115.925877,7,On,Off,25.13730273,93.00944697
1,6,Tuesday,No,22.4653627,43.03348624,1514.308423,9,Off,On,16.65941548,80.36211599
1,7,Tuesday,Yes,29.65988408,34.04228577,1568.192634,4,On,Off,24.64624628,92.52121147
1,8,Tuesday,No,24.29302166,32.05925208,1953.958265,3,On,On,0.268875635,72.66316703
1,9,Tuesday,No,26.52703823,45.75926969,1208.278118,8,Off,On,12.06221344,78.20231068
1,10,Tuesday,No,26.9040665,30.24919989,1062.21241,4,On,Off,9.694658634,90.49170426
1,11,Tuesday,Yes,29.49047183,34.62720152,1232.089405,5,Off,Off,4.54383583,76.68183998
1,12,Tuesday,Yes,26.70387505,38.37927804,1422.839907,2,On,On,27.41540257,81.51851629
1,13,Tuesday,Yes,21.82934211,42.41534005,1874.412765,1,Off,On,20.15849932,67.3154283
1,14,Tuesday,No,26.50239154,53.38212898,1079.811646,8,Off,On,1.610798161,79.49660135
1,15,Tuesday,Yes,28.1269735,46.25417393,1351.910366,7,On,On,9.621473405,86.4473386
1,16,Tuesday,Yes,28.40625304,50.72526184,1439.869568,5,On,On,3.955794407,93.6948066
1,17,Tuesday,No,24.64643325,51.58216767,1491.100376,3,On,Off,4.89174996,79.48953463
1,18,Tuesday,Yes,26.69364456,56.49109549,1765.430302,8,On,Off,9.455556881,71.90487922
1,19,Tuesday,No,29.21109492,36.39495471,1977.21851,0,Off,Off,15.39731718,77.41385904
1,20,Tuesday,No,24.95024648,48.10440687,1513.072128,0,Off,On,23.67966477,68.4685336
1,21,Tuesday,Yes,24.60361605,47.17522364,1280.239159,6,Off,Off,15.122463,72.99317043
1,22,Tuesday,Yes,29.59193085,57.25634011,1042.072049,0,Off,Off,14.32804046,83.22600601
1,23,Tuesday,No,29.87654879,39.69924262,1181.746516,1,On,Off,13.21165083,80.43141464
1,0,Wednesday,Yes,29.44648388,45.99409147,1702.156765,9,Off,Off,6.392152776,81.66465478
1,1,Wednesday,Yes,29.59943709,50.61874931,1006.225367,5,On,On,0.889983889,91.90838131
1,2,Wednesday,Yes,22.554829,47.79164857,1130.002404,2,On,Off,2.181907546,65.67603413
1,3,Wednesday,Yes,26.14800868,30.73840414,1468.417536,5,On,Off,23.69130794,76.23584839
1,4,Wednesday,Yes,24.9294248,36.42623784,1341.907645,8,On,On,11.48722706,81.54680099
1,5,Wednesday,No,24.79754332,44.30745725,1887.094636,8,Off,On,6.746035149,83.75995735
1,6,Wednesday,Yes,23.34986439,33.09846361,1721.521278,3,On,On,5.524544063,76.63972945
1,7,Wednesday,Yes,24.60072168,43.64622715,1854.877725,7,Off,On,16.99570717,73.62997122
1,8,Wednesday,Yes,25.00628702,38.08050133,1766.627016,3,On,Off,17.59087244,86.84928585
1,9,Wednesday,Yes,20.70318134,41.90536535,1494.202548,4,On,On,27.68963213,66.84867535
1,10,Wednesday,Yes,23.47439429,39.76224025,1602.643188,8,Off,On,13.96028653,73.05780674
1,11,Wednesday,No,22.85977795,37.40112554,1508.016302,1,Off,Off,7.00028557,74.12653715
1,12,Wednesday,Yes,23.67904809,34.90069736,1148.556604,2,On,On,20.45040473,79.93849947
1,13,Wednesday,No,28.31838876,40.43914067,1171.732125,1,Off,Off,25.90073034,78.63688458
1,14,Wednesday,No,25.30446489,48.43951186,1886.218328,1,On,Off,5.689415414,65.44542802
1,15,Wednesday,No,22.0920897,50.56506501,1946.481533,7,Off,On,20.7563144,74.71188396
1,16,Wednesday,Yes,22.74014527,45.29156765,1278.906088,7,On,On,28.70118419,71.56881317
1,17,Wednesday,Yes,29.24867278,48.0876758,1025.039867,4,On,Off,25.68331375,91.49098229
